X,Y
175.69132225697638,52.087712513108315
176.00997597964735,47.026803470833435
175.25067374062547,42.025612949982005
175.0373607368462,36.454697999100546
174.07129706172861,31.80436881454613
172.43500333318963,27.673225202798996
171.38281482015205,23.01884167884008
172.5095029084667,18.407269644847144
174.71378011578201,14.814748469884007
175.91531079484594,10.570160939641223
174.95683446680852,6.370110888671606
172.35438395002288,3.3244808678515927
169.2032221255807,1.2133522823111327
